DATE,BALANCE AMT,DEPOSIT AMT,WITHDRAWAL AMT,balance_lag1,deposit_lag1,withdrawal_lag1,balance_ma7,deposit_ma7,anomaly,LR_Pred,RF_Pred,LSTM_Pred
2018-05-09,664320.0,107429425.50999999,109446815.11,-1684896388.4900038,101572575.7,107476379.78,-1311327608.2814329,94912206.85142858,1,-1251069524.1367426,-1387763568.1769042,-1342831500.0
2018-05-10,-1905668392.3100128,94956188.17,92973919.98,664320.0,107429425.50999999,109446815.11,-1313209547.7985759,94610730.64714286,1,-1512543218.366197,-1071969624.8846033,-1417872100.0
2018-05-11,-1677071299.100004,121819385.2,105378010.67,-1905668392.3100128,94956188.17,92973919.98,-1311503492.2928615,96579975.17142858,1,-1215198344.288089,-939485267.8853023,-1336265600.0
2018-05-12,-1872643921.660013,5200000.0,0.0,-1677071299.100004,121819385.2,105378010.67,-1339088888.4571483,80573441.04714286,1,-1277417549.4360478,-1408317923.3450046,-1361977500.0
2018-05-13,-1867843921.660013,1400000.0,0.0,-1872643921.660013,5200000.0,0.0,-1364453553.4442925,80766298.61857143,1,-1286961813.8436918,-1152142181.3783035,-1377015700.0
2018-05-14,-1690103627.100004,192359182.12,207462787.3,-1867843921.660013,1400000.0,0.0,-1528223318.61715,89248108.10000001,1,-1484898940.5164347,-1217751425.399304,-1491027000.0
2018-05-15,-546205284.9500006,87109699.32,89765284.48,-1690103627.100004,192359182.12,207462787.3,-1365553160.9685783,87181982.90285714,1,-1312770765.3870316,-1436924480.8787065,-1376737800.0
2018-05-16,-520724484.95000064,125225509.91,101039584.75999999,-546205284.9500006,87109699.32,89765284.48,-1440037275.9614356,89724280.67428572,1,-1580626249.7157497,-1598160627.848306,-1482063200.0
2018-05-17,-1899631866.8000128,90618836.23,98386502.46,-520724484.95000064,125225509.91,101039584.75999999,-1439174915.1742928,89104658.96857144,1,-1573581632.8362608,-1613875043.4806066,-1482683600.0
2018-05-18,-544148570.5500001,90795146.4,112967330.7,-1899631866.8000128,90618836.23,98386502.46,-1277328811.0957205,84672624.85428572,1,-1178110693.457976,-921580388.2974025,-1310813200.0
2018-05-19,-1687316850.5100043,82756354.13,84652545.95,-544148570.5500001,90795146.4,112967330.7,-1250853515.2171478,95752104.01571429,1,-1360643094.1680653,-1136962478.971803,-1345175400.0
2018-05-21,-1684121967.5100043,121905800.7,121182941.36,-1687316850.5100043,82756354.13,84652545.95,-1224607521.7671466,112967218.40142857,1,-1147355919.3813975,-1113675623.0043025,-1283261000.0
2018-05-22,-1437328354.490003,93909247.26,97822946.29,-1684121967.5100043,121905800.7,121182941.36,-1188496768.5371466,98902941.99285714,1,-1101510817.8382213,-1325279629.2396042,-1254398800.0
2018-05-23,-1895214937.410013,91909926.61,87186663.94,-1437328354.490003,93909247.26,97822946.29,-1381212433.1742914,99588688.74857143,1,-1372786372.7402694,-1343836443.6943045,-1402505700.0
2018-05-24,-546242784.8200005,75438399.03,77573725.28,-1895214937.410013,91909926.61,87186663.94,-1384857904.5842912,92476244.33714285,1,-1303700972.8078747,-1272744819.599804,-1388289800.0
2018-05-25,-1686221090.3800042,112087861.7,149985700.88,-546242784.8200005,75438399.03,77573725.28,-1354370650.810004,95543247.97571428,1,-1478883285.6281085,-1308911125.1936035,-1422175700.0
2018-05-26,-1879433581.240013,6196244.0,0.0,-1686221090.3800042,112087861.7,149985700.88,-1545125652.3371487,83457690.49,1,-1538788156.5278127,-1266280344.5866032,-1503649000.0
2018-05-28,1566057.0,173123810.46,182793966.98,-1879433581.240013,6196244.0,0.0,-1303856665.5500052,96367327.10857143,1,-1213562219.5666766,-1046434716.8539028,-1335483600.0
2018-05-29,-543285960.8400005,86276396.38,86822491.38,1566057.0,173123810.46,182793966.98,-1140880093.1685762,91277412.20571427,1,-1305501101.8098965,-1082608648.7040026,-1285869400.0
2018-05-30,-543780600.0300002,76828498.21,80556574.34,-543285960.8400005,86276396.38,86822491.38,-1013230413.9600046,88837305.19857143,1,-1070564207.5123984,-1368194353.6953037,-1169917700.0
2018-05-31,-548062512.9200009,81480934.22,84241591.15,-543780600.0300002,76828498.21,80556574.34,-820780067.6042883,87347449.14285715,1,-841965766.6596138,-1164116152.288103,-1023802800.0
2018-06-01,-1670946362.6600044,92947447.66,92543380.96000001,-548062512.9200009,81480934.22,84241591.15,-981452007.2957175,89848741.80428572,1,-1032792153.2122303,-1336832805.0960042,-1146028200.0
2018-06-02,-545625125.8400009,102986491.58,91503700.74,-1670946362.6600044,92947447.66,92543380.96000001,-818509726.6471456,88548546.07285714,1,-662883405.6789043,-1087856280.4311028,-981417700.0
2018-06-03,-546177696.9900008,1100.0,0.0,-545625125.8400009,102986491.58,91503700.74,-628044600.3257153,87663525.50142857,1,-605550949.8320187,-1144570601.0144022,-873387900.0
2018-06-04,-547537091.350001,142316017.63,140034306.82,-546177696.9900008,1100.0,0.0,-706487907.2328584,83262412.24,1,-707905453.559962,-1128285490.1216028,-941714700.0
2018-06-05,-1890911887.3600128,87486038.72,94883576.36,-547537091.350001,142316017.63,140034306.82,-899005896.7357172,83435218.28857143,1,-929507790.4952444,-1024868803.7697042,-1078899200.0
2018-06-06,-547541885.510001,83652172.0,80656303.95,-1890911887.3600128,87486038.72,94883576.36,-899543223.2328602,84410028.83,1,-728163047.0336461,-1072074553.2767028,-1035627460.0
2018-06-07,-1679170724.1500044,83570565.66,90020714.65,-547541885.510001,83652172.0,80656303.95,-1061130110.551432,84708547.60714285,1,-1126121329.2237737,-1408660668.2493033,-1205585800.0
2018-06-08,-1689362081.1500044,108901510.98,101441487.84,-1679170724.1500044,83570565.66,90020714.65,-1063760927.478575,86987699.51,1,-957096606.6426542,-1248658122.373703,-1163892000.0
2018-06-11,-542524985.2000002,205182678.35,199952193.49,-1689362081.1500044,108901510.98,101441487.84,-1063318050.2442893,101587154.76285712,1,-949913451.1086061,-1079970000.6147025,-1164011500.0
2018-06-12,-1892641973.2900133,97855006.62,108659304.46000001,-542524985.2000002,205182678.35,199952193.49,-1255670089.7157195,115566284.28,1,-1353011269.6319506,-1212299854.867407,-1347607300.0
2018-06-13,-1689459129.2600043,102497080.12,100184025.42,-1892641973.2900133,97855006.62,108659304.46000001,-1418801809.4171486,109877864.63571429,1,-1349361084.565361,-1511587187.4685047,-1412700900.0
2018-06-14,-1896613929.830013,107585885.17,91735409.73,-1689459129.2600043,102497080.12,100184025.42,-1419616386.912863,112749271.27142857,1,-1377712824.524549,-1614624845.3000047,-1421371400.0
2018-06-15,-546148348.0000004,109720526.16,107939122.0,-1896613929.830013,107585885.17,91735409.73,-1419417310.1257198,116473321.8657143,1,-1341264299.3674219,-1395151142.8173041,-1414635100.0
2018-06-16,-546127553.0600003,230359.0,0.0,-546148348.0000004,109720526.16,107939122.0,-1257553999.970005,104567578.05714285,1,-1360488623.964307,-1462526358.8898041,-1351782500.0
2018-06-18,-545863543.4800005,185221999.29,185202699.01,-546127553.0600003,230359.0,0.0,-1094197066.0171475,115470504.95857143,1,-1171847151.4834492,-902770752.6807014,-1239044900.0
2018-06-19,-540336150.8300006,94118086.29,106756054.39,-545863543.4800005,185221999.29,185202699.01,-1093884375.3928618,99604134.66428573,1,-1161398440.8181293,-924530892.6717029,-1225808800.0
2018-06-20,-542766026.7700002,91661815.58,98310104.86,-540336150.8300006,94118086.29,106756054.39,-901044954.4614314,98719393.08714284,1,-940395522.2384442,-840914123.1457025,-1084783000.0
2018-06-21,-1682812890.9500046,89451294.86,91348060.54,-542766026.7700002,91661815.58,98310104.86,-900095491.8457171,96855709.47857143,1,-937199797.6979288,-899072878.3558023,-1084366800.0
2018-06-22,-542790859.0200002,132905672.28,117379684.13,-1682812890.9500046,89451294.86,91348060.54,-706692196.0157152,100472821.92285715,1,-528622790.38487035,-912506670.2412019,-897216830.0
2018-06-23,-1700071473.9500046,166000.0,20500.0,-542790859.0200002,132905672.28,117379684.13,-871538356.8657159,84822175.32857144,1,-894048019.6067002,-955804686.6297029,-1059909250.0
2018-06-25,-1885051683.340013,119337754.41,125029475.36,-1700071473.9500046,166000.0,20500.0,-1062813232.6200033,101837517.53,1,-955567469.0166091,-1014577770.4408026,-1168715900.0
2018-06-26,-1685108976.9500046,69674357.11,534061882.99,-1885051683.340013,119337754.41,125029475.36,-1225562580.2585754,85330711.50428571,1,-1116405445.9283621,-1192382938.041504,-1273212800.0
2018-06-27,-526654532.16000056,72052829.4,55312557.4,-1685108976.9500046,69674357.11,534061882.99,-1223608063.3057182,82178531.94857143,1,-1282967750.4025064,-1220391998.7246032,-1255881500.0
2018-06-28,-1927562291.0300035,51609679.89,55995999.019999996,-526654532.16000056,72052829.4,55312557.4,-1421436101.0571475,76456798.27857143,1,-1556161738.275683,-1616471171.3829055,-1469992000.0
2018-06-29,-1689492755.3700044,75976021.05,75001255.05,-1927562291.0300035,51609679.89,55995999.019999996,-1422390367.4028614,74531759.16285715,1,-1347906099.251213,-1052360680.7110023,-1412825200.0
2018-06-30,-526388803.02000046,91012038.15,98224654.75,-1689492755.3700044,75976021.05,75001255.05,-1420047216.5457187,68546954.28714286,1,-1378905023.5927753,-1322504586.8212042,-1418398100.0
2018-07-02,-1885829252.970013,123096539.24,117873896.72,-526388803.02000046,91012038.15,98224654.75,-1446584042.1200058,86108459.89285715,1,-1592560625.0747485,-1587765882.3782063,-1486729600.0
2018-07-03,-1682153168.5400045,73190448.59,72181837.28,-1885829252.970013,123096539.24,117873896.72,-1417598540.0057187,79515987.63285713,1,-1342145665.5695133,-1538587770.2275054,-1409407000.0
2018-07-04,-1667429286.5800045,91844009.16,95803517.21,-1682153168.5400045,73190448.59,72181837.28,-1415072869.9528615,82683080.78285715,1,-1374590849.3665307,-1275250262.5605035,-1416565800.0
2018-07-05,-1682412487.6400044,89364276.36,90450386.75,-1667429286.5800045,91844009.16,95803517.21,-1580181149.307148,85156144.63428572,1,-1574668509.335535,-1488534696.5041037,-1530829400.0
2018-07-06,-1674977431.2500043,100604518.58,102226686.7,-1682412487.6400044,89364276.36,90450386.75,-1544097597.910005,92155407.30428572,1,-1528700806.68762,-1492452901.8111038,-1506394200.0
2018-07-07,-542861957.5800003,93282718.44,100759696.44,-1674977431.2500043,100604518.58,102226686.7,-1380293198.2257187,94627792.64571428,1,-1333777658.3109522,-1457198254.989905,-1392348400.0
